station,depth,PC_um
9,175,0.529767848
9,150,0.785715522
9,125,0.85248448
9,100,1.936974231
9,75,2.110978183
9,45,2.360855952
9,25,2.246539402
9,5,1.802424663
26,175,0.548314781
26,150,0.903404242
26,125,1.587280241
26,100,2.169991152
26,75,1.881670649
26,45,2.365239773
26,25,2.116373655
26,5,2.205398933
36,175,0.515267518
36,150,1.027162867
36,125,1.63516505
36,100,2.763155788
36,75,2.439427504
36,45,2.360518735
36,25,2.138967191
36,5,1.917415647
59,175,0.666993326
59,150,0.709406224
59,125,1.013365333
59,100,1.907065701
59,75,1.815171087
59,45,1.958567078
59,25,2.564465632
59,5,2.098933576
71,175,0.613303981
71,150,0.805171857
71,125,1.071767221
71,100,1.975565898
71,75,1.733206477
71,45,2.066450682
71,25,2.210856504
71,5,1.677665776
72,175,0.65571688
72,150,0.932410554
72,125,1.542348432
72,100,1.080855699
72,75,1.892759763
72,45,2.100784933
72,25,2.144207663
72,5,2.008890319
73,175,0.752049787
73,150,1.033879056
73,125,1.610669424
73,100,1.692490824
73,75,1.489452534
73,45,1.758149973
73,25,1.994522908
73,5,1.71370378
74,150,1.164692283
74,125,1.487937323
74,100,1.999068541
74,75,1.59198182
74,45,2.155640357
74,25,2.141498387
74,5,2.156650498
